title,type,location,people,description
CBRE,Other,"Dallas, TX, USA",10000 +,"Operating across every dimension of commercial real estate, CBRE sees more so you can do more"
Invenergy Services,Materials & Manufacturing,"Chicago, IL, USA",501-1000,"Make our expertise your advantage. With over a decade of self-performance experience, Invenergy Services provides end-to-end energy solutions for asset owners by managing risk and extending asset life."
Everlight Solar,Other,"Verona, Wisconsin, USA",51-100,"Everlight Solar provides homeowners with simple and affordable clean energy. We believe that going solar should be headache and hassle-free. That’s why we supply the solar panels, and take care of all the installation—for no upfront cost."
PwC,Other,"Dallas, TX, USA",10000 +,"At PwC, our purpose is to build trust in society and solve important problems. We’re a network of firms in 152 countries with over 327,000 people who are committed to delivering quality in assurance, advisory and tax services. Find out more and tell us what matters to you by visiting us at www.pwc.com.  PwC refers to the PwC network and/or one or more of its member firms, each of which is a separate legal entity.
Content on this page has been prepared for general information only and is not intended to be relied upon as accounting, tax or professional advice. Please reach out to your advisors for specific advice"
The Nature Conservancy,Other,"Arlington, VA, USA",1001-5000,"The Nature Conservancy is a global environmental nonprofit working to create a world where people and nature can thrive.
We're proud of what we've accomplished since our founding in 1951: The Nature Conservancy has protected more than 117 million acres of land and 5,000 miles of rivers worldwide — and we operate more than 100 marine conservation projects globally.
We have more than 1 million members and work in 76 countries and territories, using a collaborative approach that engages local communities, governments, the private sector, and other partners.
Guided by science, we create innovative, on-the-ground solutions to our world's toughest challenges so that nature and people can thrive together. We are tackling climate change, conserving lands, waters and oceans at an unprecedented scale, providing food and water sustainably and helping make cities more sustainable."
World Wildlife Fund,Other,"Washington, D.C., USA",1001-5000,"Our planet faces many big conservation challenges. No one person or organization can tackle these challenges alone, but together we can. WWF-US
For more than 50 years, WWF has been protecting the future of nature.
The world’s leading conservation organization, WWF works in 100 countries and is supported by over 1 million members in the United States and six million globally. WWF’s unique way of working combines global reach with a foundation in science, and involves action and partnership at every level from local to global to ensure the delivery of innovative solutions that meet the needs of both people and nature."
Dewberry,Other,"Fairfax, Virginia, USA",1001-5000,"Dewberry is a leading, market-facing firm with a proven history of providing professional services to a wide variety of public- and private-sector clients. Recognized for combining unsurpassed commitment to client service with deep subject matter expertise, Dewberry is dedicated to solving clients' most complex challenges and transforming their communities. Established in 1956, Dewberry is headquartered in Fairfax, Virginia, with more than 50 locations and 2,000+ professionals nationwide. Our commitment to excellence begins with employing the industry's most talented, driven, and dedicated professionals. We embrace an inclusive environment by valuing all individuals and their many diverse backgrounds.  As a result, we are better able to deliver high quality services to our clients, create competitive advantages, and drive market leadership. Whether an experienced professional or a new graduate, our employees have the chance to collaborate with exceptional colleagues, contribute to interesting and highly visible projects, advance their career goals, and take part in projects that transform communities."
EY,Materials & Manufacturing,"Chicago, IL 60606, USA",10000 +,"EY exists to build a better working world, helping create long-term value for clients, people and society and build trust in the capital markets.
Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.
Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today."
ICF,Energy,"Reston, Virginia, USA",5001-10000,"ICF is a global consulting and technology services company with approximately 9,000 employees, but we are not your typical consultants. At ICF, business analysts and policy specialists work together with digital strategists, data scientists and creatives. We combine unmatched industry expertise with cutting-edge engagement capabilities to help organizations solve their most complex challenges. Since 1969, public and private sector clients have worked with ICF to navigate change and shape the future."
Trinity Solar,Energy,"Wall Township, New Jersey, USA",1001-5000,"Energize your career!
Trinity Solar is one of the largest privately-held residential solar companies in the nation.
Our family of employees has grown to over 3,000 people and operates up and down the eastern seaboard with locations in NJ, NY, CT, MA, PA, MD, RI, FL & DE.
We are passionate about our environment, our valued customers and our exceptional employees!
Make a Difference with Trinity Solar! It's not just a job…it's a rewarding career path in one of today's fastest growing fields! Our employees enjoy continuous training and support as well as a competitive compensation package designed to meet their personal and professional needs. Become part of the solution to protect the planet!
Not just a career... but a career path to success! Trinity Solar offers careers in one of the fastest growing industries in the country. A career with Trinity Solar is a path to personal and professional growth with a company who truly values its employees. Our employees enjoy..."
Clearway Energy Group,Energy,"San Francisco, California, USA",501-1000,"About Clearway Energy Group Clearway Energy Group is leading the transition to a world powered by clean energy. Along with our public affiliate Clearway Energy, Inc., we own and operate more than 8 gigawatts of renewable and conventional energy assets across the country. As we develop a nationwide pipeline of new renewable energy projects for the future, Clearway’s 7 gigawatts of operating wind, solar, and energy storage assets offset the equivalent of more than 10.5 million metric tons of carbon emissions for our customers today. Clearway Energy Group is headquartered in San Francisco with offices in Carlsbad, Calif.; Scottsdale, Ariz.; Houston; and Princeton, N.J. For more information, visit clearwayenergygroup.com"
Trane Technologies,Other,"Davidson, North Carolina, USA",10000 +,"At Trane Technologies, we challenge possible by thinking bigger, acting bolder and taking actions that not just improve our own performance but influence global change.
Our world contends with unprecedented challenges. Our future has never been more uncertain. Urbanization is dramatically reshaping our communities, our resources are more constrained that ever before, and climate change is accelerating at an astonishing rate.
We believe it is time to challenge industry norms and be at our most creative every day.  To get there, we’ve committed to ambitious sustainability goals and we will change the way the world heats and cools buildings and moves refrigerated food, medicines, and other perishables.
Global change starts when we each have the courage to act.  And when we act, we boldy go."
WSP USA,Transportation,"New York, NY, USA",5001-10000,"At WSP USA, our expertise lies at the intersection of the infrastructure and the skylines we have helped to shape from coast to coast.
We can meet your needs with cross-disciplinary services across multiple sectors and markets including: advisory; buildings; water and environment; energy; and transportation & infrastructure.
Our professionals have planned, designed and managed the construction of some of the most iconic high-rise buildings, bridges, highways, tunnels and transit and rail systems across the United States. Some of our most notable projects include major expansions of the New York and Los Angeles transit systems, as well as iconic buildings such as One World Trade Center and 432 Park Avenue in New York City, the Salesforce Tower in San Francisco, and the U.S. Coast Guard Headquarters in Washington, D.C."
U.S. Department of Energy,Research & Education,"Washington D.C., DC, USA",5001-10000,"The mission of the Department of Energy is to ensure America's security and prosperity by addressing its energy, environmental, and nuclear challenges through transformative science and technology solutions.
Goal 1: Science and Energy — Advance foundational science, innovate energy technologies, and inform data driven policies that enhance U.S. economic growth and job creation, energy security, and environmental quality.
Goal 2: Nuclear Security — Strengthen national security by maintaining and modernizing the nuclear stockpile and nuclear security infrastructure, reducing global nuclear threats, providing for nuclear propulsion, improving physical and cybersecurity, and strengthening key science, technology, and engineering capabilities
Goal 3: Management and Performance — Position the Department of Energy to meet the challenges of the 21st century and the nation’s Manhattan Project and Cold War legacy responsibilities by employing effective management and refining operational and support capabilities to pursue departmental missions"
National Renewable Energy Laboratory,Energy,"Golden, CO, USA",5001-10000,"The National Renewable Energy Laboratory (NREL), a Department of Energy national lab, is #TransformingEnergy as the nation's primary laboratory for renewable energy and energy efficiency research and development.
NREL's Mission: NREL develops renewable energy and energy efficiency technologies and practices, advances related science and engineering, and transfers knowledge and innovations to address the nation's energy and environmental goals.
NREL's Strategy: NREL has forged a focused strategic direction to increase its impact on the U.S. Department of Energy's (DOE) and our nation's energy goals by accelerating the research path from scientific innovations to market-viable alternative energy solutions."
Coperniq Inc,Energy,"San Francisco, CA, USA",11-50,"Coperniq is digitizing the deployment & maintenance of residential renewable assets.
We help solar & other energy contractors deploy projects faster, with higher margins, and industry-leading customer experience.
Together with contractors, Coperniq is building a more resilient, efficient, and adaptable energy grid.

~ YC & Initialized Capital backed ~"
Pollination,Advocacy or Policy,"Washington, D.C., USA",101-250,"Pollination is a specialist climate change investment and advisory firm, accelerating the transition to a net zero, nature positive future.
Our people are the key to unlocking change. Brought together from across industries, we are global leaders in finance, investment, technology, business, law and policy."
Trees for the Future,"Food, Agriculture, & Land Use",Remote,251-500,"At Trees for the Future (TREES), we recognize that unsustainable land use is the root cause of our most pressing challenges. We confront these challenges by serving the people at the heart of our global food systems: farmers and their families.

As a global leader in agroforestry training for over 30 years, TREES provides hands-on, immersive education, skill building, and support, encouraging farmers to work with nature, not against it. Our signature methodology, the Forest Garden Approach, helps farmers transform their land with thousands of fast-growing, ecologically appropriate trees and dozens of other crops, creating new possibilities for themselves and their communities. By embracing sustainable land practices, farmers are reclaiming their agency, breaking the cycles of climate change and generational poverty, and rebuilding our food systems from the ground up.

Trees for the Future (TREES) is at the forefront of the response to climate change, biodiversity loss and inequality and we are set to scale our work with our first voluntary carbon market project. Nature-based solutions that include smallholder farmers offer the unique opportunity to make significant carbon reductions, while supporting smallholder farmers who are some of the most vulnerable to climate shocks. TREES’ goal is to create a paradigm shift in the carbon market and bring equity, transparency and inclusion through a $21M carbon project with a major investment partner. TREES will implement our nature-based solution with at least 15,000 farmers in Western Kenya, each on 2 acres of land, generating 4.4 million VCUs."
LSUHSC School of Public Health,Research & Education,"New Orleans, LA, USA",1001-5000,"The Environment, Health, Equity and Sustainability Program (EHES) was created to address the shortage of public health professionals with the background to address climate change as a public health issue. Climate inequity and environmental injustice are the twin policy and management challenges of our time. Today’s public health leaders must confront the challenges posed by societal and racial inequities that communities of color face in solving climate and environmental issues. No solutions or strategies will be successful without ensuring high vulnerability populations have the institutional, technical and financial resources they need to adapt.
This program prepares students for jobs as countries around the world work to build adaptive capacity and a new green economy.
The School of Public Health ( SPH) is located on the Louisiana State University Health Sciences Center-New Orleans ( LSUHSC -NO) campus which is downtown in the medical district of the metropolitan area. LSUHSC -NO is a part of the Louisiana State University ( LSU) System. The Environment, Health, Equity and Sustainability Program is one of four programs in the SPH and has a national reputation for cancer research, community-engaged research and practice and for promoting health equity. The EHES Program offers a BS degree, MPH degree, and several dual degree tracks."
County of San Mateo,Other,"San Mateo County, CA, USA",5001-10000,"Working for the County of San Mateo is more than a job. Each and every day, we create a remarkable experience for our employees and the community we serve. Your contributions here improve our community and make a difference for the people who need it most. In turn, we commit to providing a diverse and collaborative environment where your professional development is supported, and your health and well-being are a priority."
City and County of Denver,Climate Adaptation,"Denver, CO, USA",10000 +,City and County of Denver Jobs
Climate Action Campaign,Advocacy or Policy,"California, USA",11-50,Achieve a zero carbon future through effective and equitable policy action.
Independent Power,Energy,"Boulder, CO, USA",11-50,"Independent Power is an established solar and home electrification company, based in Boulder, CO, since 1997. We pride ourselves on having the best talent, the best culture, and the best service in the Boulder/Denver and Bozeman/Billings areas. We're on a mission to electrify the world with clean energy and to help customers move towards modern, energy-saving technologies for powering, heating, and cooling their homes. Joining Independent Power is a chance to have an impact on climate change and our local community."
City and County of Denver,Other,"Denver, CO, USA",5001-10000,"The municipal government of Denver, Colorado."
City and County of Denver,Other,"Denver, CO, USA",5001-10000,"From the culture and arts to unique experiences and world-class business opportunities – there are countless reasons to love Denver. It takes many hands to keep a city as dynamic and vibrant as ours running and thriving. The unique energy and spirit that draws people to the Mile High City all begin with the City and County of Denver. With more than 11,000 employees, the City and County of Denver team members are the heart of Denver. You can make a real difference with the work you do every day and have a hand in shaping the future of the city. See yourself here."
Fervo Energy,Energy,"Houston, TX, USA",51-100,"Fervo Energy commercializes technology to own, develop, and operate geothermal assets as the dispatchable foundation to a 100% clean energy future. As a 24/7, reliable clean energy resource, geothermal energy has a major role to play in the future electric grid and Fervo Energy’s key innovations bring a full suite of modern technology to make geothermal cost competitive. Fervo’s innovations include technologies such as advanced computational models, horizontal drilling, and distributed fiber optic sensing that we have developed with partners including Schlumberger, ARPA-E, and the Lawrence Berkeley National Lab. Fervo is supported through Cyclotron Road, the Department of Energy, Stanford University, and Breakthrough Energy Ventures."
HyAxiom,Energy,"Boston, MA, USA",251-500,"HyAxiom, Inc. is a leading global fuel cell and hydrogen solutions provider, enabling reliable, cost-competitive and carbon-free energy sources for industrial and commercial uses. Building upon decades of experience in fuel cell development, HyAxiom’s mission is to accelerate a sustainable energy future by delivering a full spectrum of hydrogen solutions including fuel cells for both stationary and mobility applications as well as electrolyzers for hydrogen production. As a core technology provider, HyAxiom is a key pillar in the Doosan Group’s hydrogen vision. HyAxiom’s PureCell®, which is based on proprietary phosphoric acid fuel cell (PAFC) technology, is the only commercially operating stationary fuel cell system running solely on hydrogen, today."
Climate Generation,Advocacy or Policy,"Minneapolis, MN, USA",11-50,"Climate Generation ignites and sustains the ability of youth, educators, and communities to act on systems perpetuating the climate crisis. Based in the Twin Cities, Minnesota, Climate Generation strategically engages and empowers youth, educators, decision-makers and the public to foster climate literacy and action with the goal of building a more equitable and resilient future for all."
CAM Solar,Research & Education,"San Antonio, TX, USA",51-100,Gocamsolar.com offers solar installation in San Antonio. We are experts in solar panel installation and can help you get the most out of your solar system. Check out our site for more details.
Divert Inc,Energy,"Concord, MA, USA",251-500,"Divert, Inc. is an impact technology company on a mission to Protect the Value of Food™. The company creates advanced technologies and sustainable infrastructure to prevent wasted food, driving social and environmental impact.
Today, the U.S. alone generates more than 100 million tons of wasted food annually, with over 50% going to landfills or incinerators. What’s more, wasted food contributes 8% to 10% of global greenhouse gas emissions. Divert is tackling these crises head on, delivering immense progress towards eliminating wasted food through its unique solutions – from converting wasted food into renewable fuels to feeding those in need."
"California Public Utilities Commission, Energy Division",Advocacy or Policy,"505 Van Ness Avenue, San Francisco, CA...",101-250,"The more than 200-plus member staff of the California Public Utilities Commission's Energy Division administer the policies that guide California’s nation-leading efforts in reliability, energy efficiency, customer-side energy generation, renewable energy, and the fight against climate change. The Energy Division provides objective and expert analyses that promote reliable, safe and environmentally sound energy services at lowest reasonable rates for the people of California.
The Energy Division provides technical support to the Commissioners and their offices, and the Administrative Law Judges. The Energy Division drafts resolutions for formal consideration by the Commission. Resolutions generally result from informal utility requests called Advice Letters, which are submitted by utilities to request rate and tariff adjustments.
The Energy Division through its Federal Policy and Ratemaking Section represents the Commission in Federal Energy Regulatory Commission (FERC) and court proceedings.
The Energy Division assists the Commission in its regulation of four types of Investor-Owned Utilities (IOUs): Electric, Natural Gas, Steam and Petroleum Pipeline Companies. Commission-approved tariffs (official rates and terms of service) for these four types of IOUs are maintained by the Energy Division."
Woodwell Climate Research Center,Research & Education,Remote,101-250,"Woodwell Climate Research Center conducts science for solutions at the nexus of climate, people, and nature. We partner with leaders and communities for just, meaningful impact to address the climate crisis."
Triumvirate Environmental,Other,"Somerville, MA, USA",501-1000,"Triumvirate Environmental Inc. provides sustainable environmental solutions to leading companies in the Life Sciences, Healthcare, Education, and Industrial markets. Key areas of expertise are in Waste Management & Disposal, COVID-19 Decontamination Services, EHS Consulting Services, and Lab & Facility Services. Our highly trained experts help organizations reduce waste, save money, stay safe and compliant, manage risk, and protect their reputation.
Through a focus upon the individual needs of clients within each service sector, coupled with the development of an industry-leading team of experts, we deliver an unmatched level of customer-intimacy.
Using the most innovative technology and proven safety measures, we ensure environmental, health, and safety compliance for companies across the United States and Canada."
Qcells,Energy,"Irvine, California, USA",501-1000,"Qcells is a renowned complete energy solutions provider in solar cell and module, energy storage, downstream project business and energy retail. It is headquartered in Seoul, South Korea (Global Executive HQ), Thalheim, Germany (Module Technology & Innovation HQ) and San Francisco, USA (Energy Storage/Inverter & Software HQ) with operations all over the world. Through its growing global business network spanning Europe, North America, Asia, South America, Africa and the Middle East, Qcells provides excellent services and long-term partnerships to its customers in the utility, commercial, governmental and residential markets."
Fluence,Energy,"Arlington, Virginia, USA",1001-5000,"Fluence is a global market leader in energy storage products and services, and cloud-based software for renewables and storage. With a presence in over 40 markets globally, Fluence provides an ecosystem of offerings to drive the clean energy transition, including modular, scalable energy storage products, comprehensive service offerings, and the Fluence IQ Platform, which delivers AI-enabled SaaS products for managing and optimizing renewables and storage from any provider. The company is transforming the way we power our world by helping customers create more resilient and sustainable electric grids. (Nasdaq: FLNC)"
New Energy Nexus,Energy,"Oakland, CA, USA",101-250,"New Energy Nexus is an international non-profit organization that supports clean energy entrepreneurs with funds, accelerators and networks. We started in California and now operate programs in China, India, Southeast Asia, and East Africa.
Our Vision New Energy Nexus strives towards an abundant world with a 100% clean energy economy for 100% of the population in the shortest time possible. To make this lasting change our work must uplift communities around the globe who have been and continue to be left behind by the failed paradigm of a fossil-fuel economy. To do this we fund, connect and grow diverse new energy entrepreneurs and innovators worldwide. We know that focusing on justice and sustainability, while bringing clean energy access for all, will yield greater social and economic dividends. The future of clean energy is 100% for the 100%.
Our Mission We support diverse entrepreneurs to drive innovation and build equity into the global clean energy economy.
Our Values Living Ubuntu | Being Resourceful | Having Impact | Seeking Justice"
Public Health Institute,Climate Adaptation,"Washington D.C., DC, USA",501-1000,"The Public Health Institute (PHI) is an independent, nonprofit organization dedicated to promoting health, well-being, and quality of life for people throughout California, across the nation and around the world. As one of the largest and most comprehensive public health organizations in the nation, we are at the forefront of research and innovations to improve the efficacy of public health statewide, nationally, and internationally."
Theodore Roosevelt Conservation Partnership,Advocacy or Policy,"Washington D.C., DC, USA",11-50,"We unite and amplify our partners’ voices to advance America’s legacy of conservation, habitat, and access.
In 1912, Roosevelt said, “There can be no greater issue than that of conservation in this country.” While in the political arena, he succeeded in making conservation a top-tier national issue. T.R. had the foresight to address these issues still so significant to sportsmen today, understanding that if we want to safeguard critical habitat, productive hunting grounds, and favorite fishing holes for future generations, we must plan carefully today.
CONSERVATION WORKS FOR AMERICA
In the last two years, policymakers have committed to significant investments in conservation, infrastructure, and reversing climate change. Hunters and anglers continue to be vocal about the opportunity to create conservation jobs, restore habitat, and boost fish and wildlife populations."
ESG Flo,Other,"NYC, NY, USA",11-50,"ESG Flo was born out of frustration with the time-consuming process of collecting and reporting on ESG data. ESG Flo uses AI/ML to automate the data collection and extraction process for regulatory reporting and decision making. After winning Bain & Company's global Hackathon, ESG Flo received funding and support from Bain's Founder's Studio. Now it’s also backed by Tola Capital and Rho Ventures."
Friends of the Inyo,Advocacy or Policy,"Bishop, CA, USA",11-50,"Friends of the Inyo is a non-profit organization that protects and cares for the public lands of the Eastern Sierra through education, exploration, and preservation."
Salk Institute for Biological Studies,Research & Education,"10010 North Torrey Pines Road, La Jolla, CA...",501-1000,"Unlocking the secrets of life itself is the driving force behind the Salk Institute. Our team of world-class, award-winning scientists pushes the boundaries of knowledge in areas such as neuroscience, cancer research, aging, immunobiology, plant biology, computational biology, and more. Founded by Jonas Salk, developer of the first safe and effective polio vaccine, the Institute is an independent, nonprofit research organization and architectural landmark: small by choice, intimate by nature, and fearless in the face of any challenge. Learn more at www.salk.edu."
Massachusetts Department of Public Health (DPH),Other,"Massachusetts, USA",1001-5000,"DPH keeps people healthy and communities strong. We promote the health and well-being of all residents by ensuring access to high-quality public health and health care services, focusing on prevention and wellness, and health equity for all."
Enertiv,Buildings,Remote,11-50,Enertiv has reinvented traditional real estate workflows by centering them around decarbonization and fueling performance with real-time monitoring insights
GaeaStar,Materials & Manufacturing,"San Francisco, CA, USA",11-50,"🌎 Earth back to earth. GaeaStar combines traditional craftsmanship with additive manufacturing techniques, creating technology for a world where convenience does not destroy our planet.
Our motivation is simple: We believe we have a responsibility to eliminate the negative impact of single use products. Inspired by how street vendors serve tea 🫖 in India, we are developing technology to print ultra-thin 🌱 clay cups, bowls and plates that disintegrate naturally after use. At scale, locally and ready in mere seconds. It’s a simple solution to a massive problem for our planet: Every year, over 500 billion disposable cups are used worldwide, most of which end up in our oceans and landfills."
"Yale University, Center for Natural Carbon Capture",Other,"New Haven, CT, USA",10000 +,"Reducing carbon emissions is crucial for combating climate change, but alone it is not enough to avoid its potentially catastrophic consequences. This raises many questions:  Which natural processes capture carbon from the air and store it in the environment (i.e. negative emissions)? Can we find ways to speed up these processes? How much carbon can be stored that way and for how long? What are the co-benefits and negative consequences of these efforts? How will they affect other parts of the natural environment and the communities of people living in the affected areas?
Initiated by a transformative gift from FedEx and as a part of the Yale’s Planetary Solutions Project, the Yale Center for Natural Carbon Capture sets out to study the fundamental and applied science of natural carbon capture. It aims at developing solutions that will provide one of the many tools needed for addressing some of the greatest challenges of our time.
The Center brings new and exciting research and researchers to the Yale community and connects them with the many existing relevant research labs across campus and beyond. The Center funds research projects, workshops, and fellowships at the University and it invests in outreach and training the next generation of scientists and practitioners. These activities are centered around three Focus Areas: Ecosystem & Biological Capture, Geological & Ocean Capture, and Industrial Carbon Utilization. Continued fundraising efforts aim at securing support for this endeavor well into the future."
Climate Change AI,Advocacy or Policy,Remote,11-50,"Climate Change AI (CCAI) empowers a global community of innovators, practitioners, and decision-makers to accelerate responsible climate action through the use of AI, by addressing critical gaps in expertise, education, coordination, and research-to-deployment infrastructure. Since 2019, CCAI has inspired, informed, and connected thousands of stakeholders through networking and knowledge-sharing events, summer schools and other educational programs, international policy reports, and multi-million dollar global grants programs. See the CCAI website for further details."
Resource Conservation District of Greater San Diego County,Advocacy or Policy,"San Diego, CA, USA",11-50,"As stewards of the regional environment, we partner with a diverse group of landowners, public and private institutions, and concerned citizens to address the diverse conservation and environmental concerns that are unique to San Diego County. The RCD’s programs and priorities help to restore and protect San Diego County watersheds, prevent wildfire damage through education and fuel reduction, promote nutrition and stewardship through sustainable agriculture and soil health, and revitalize pollinator habitats.
Resource Conservation Districts are independent, non-regulatory Special Districts, organized under Division 9 of the CA Public Resources Code. Founded on principles of grass-roots, locally-led governance, RCDs are leaders in on-the-ground conservation efforts, connecting people with programs and resources necessary to conserve and manage natural resources. Through funding primarily from local, state, and federal grants and donations, we create programs and services that address the unique conservation challenges that face San Diego County."
Climate Generation,Research & Education,"2801 21st Ave S #110, Minneapolis, MN 55407...",11-50,"Climate Generation ignites and sustains the ability of youth, educators, and communities to act on systems perpetuating the climate crisis. Based in the Twin Cities, Minnesota, Climate Generation strategically engages and empowers youth, educators, decision-makers and the public to foster climate literacy and action with the goal of building a more equitable and resilient future for all."
VEIC,Energy,Remote,251-500,"VEIC is a sustainable energy company on a mission to generate the energy solutions the world needs. For over 30 years VEIC has been working with governments, utilities, foundations, and businesses across North America to develop and deploy clean energy services that provide immediate and lasting change. With expertise in energy efficiency, building decarbonization, transportation electrification, and new approaches for a clean and flexible grid, VEIC brings innovative solutions to the market. VEIC is nationally recognized for developing pilots and programs that optimize energy use, reduce energy burdens for low-income customers, and advance new technologies. In addition to our full-service consulting business (Energy Services), VEIC administers three large-scale sustainable energy programs: Efficiency Vermont, Efficiency Smart, and the DC Sustainable Energy Utility (DCSEU)."
Verdagy,Energy,Remote,51-100,"Verdagy is driving down the cost and energy needed to generate green hydrogen for industry. We engineer and manufacture innovative electrolyzers that scale to gigawatt production facilities. The result is a 100% zero-carbon energy source, translating solar and wind into carbon-free hydrogen."
Wisconsin Department of Natural Resources,Materials & Manufacturing,"Madison, WI, USA",1001-5000,x
Lumina Solar,Energy,"Baltimore, MD, USA",101-250,"Our Mission at Lumina Solar

At Lumina Solar, we provide industry-leading solar installation services to the Mid-Atlantic for clients in Maryland, Pennsylvania, Virginia, and Washington DC.
We’re dedicated to reshaping the way you think about energy. Going green offers a variety of benefits in both the short and long term: lowered energy costs, reduction of your carbon footprint, and increased property value. Whether you’re a homeowner tired of arbitrary price hikes from the utility company, or a business leader seeking ways to optimize your money, going solar is a great option for you. We provide reliable solutions that produce clean energy, reduce costs, give back control, and benefit the environment."
FSC I&P,"Food, Agriculture, & Land Use","Seattle, WA, USA",11-50,"FSC I&P builds partnerships alongside the global Forest Stewardship Council network and others accelerating the protection of healthy and resilient forests. We take a collaborative approach to finding common goals between programs and partners. Uniting around these shared objectives, we use our fundraising expertise and connection with FSC to amplify responsible forest management efforts and catalyze innovative solutions. We look for the most significant opportunities that forests play in addressing social, environmental, and economic challenges."
Steven Winter Associates,Energy,"Washington, D.C., USA",101-250,"Steven Winter Associates, Inc. (SWA) is a mission driven and employee owned company providing research, consulting and advisory services to improve commercial, residential and multifamily built environments for private and public-sector clients. We specialize in energy, sustainability and accessibility consulting as well as certification, research & development and compliance services.
For further information on Steven Winter Associates, please visit www.swinter.com."
The Rounds,Other,"New York, NY, USA",51-100,"We keep your home stocked with the essential stuff you need but don’t want to think about... with zero waste!
We are building the future of commerce in cities. Our vision is to create the most efficient, scheduled, last-mile logistics network, and the only optimized closed-loop (read: zero-waste) supply chain. By achieving this, we can make convenience sustainable and sustainability convenient for greener neighborhoods and happier neighbors."
Univ of Minnesota,Energy,"Minneapolis, MN, USA",10000 +,-
Jobs to Move America,Advocacy or Policy,USA,11-50,Jobs to Move America is a strategic policy center that works to transform public spending and corporate behavior using a comprehensive approach that is rooted in racial and economic justice and community organizing. We seek to advance a fair and prosperous economy with good jobs and healthier communities for all.
Action for Boston Community Development,Advocacy or Policy,"Boston, MA, USA",501-1000,"Action for Boston Community Development is Boston's antipoverty agency, serving more than 100,000 low-income Greater Boston residents annually through its city-wide network of neighborhood-based organizations. ABCD provides innovative, timely programs that promote upward mobility and a higher quality of life for people and communities."
MaGrann,Energy,"701 East Gate Drive, Mount Laurel Township, NJ...",51-100,-
County of San Mateo Office of Sustainability,Advocacy or Policy,"455 County Center, Redwood City, CA, USA",11-50,"Formed in July 2014 as a part of the County Executive’s Office, the Office of Sustainability strives to improve the sustainability of the County’s operations and the greater community through work that is designed to bring solutions today while solving for tomorrow. The Office of Sustainability has programs to help the county both fight and prepare for climate change, ensure clean energy, water, and air, conserve resources for future generations through waste reduction, and support livable communities with affordable housing and infrastructure for biking, walking, and public transit."
Sol Systems,Energy,"Washington, D.C., USA",101-250,"Sol Systems, a national solar finance and development firm, delivers sophisticated, customized services for institutional, corporate, and municipal customers. Over the last 15 years, Sol Systems has delivered over 1 GW of solar projects for Fortune 100 companies, municipalities, universities, churches, and small businesses. Sol now manages over $650 million in solar energy assets for utilities, banks, and Fortune 500 companies. Inc. 5000 recognized Sol Systems in its annual list of the nation’s fastest-growing private companies for five years. For more information, please visit www.solsystems.com"
Climate Leadership Initiative,Other,"San Francisco, CA, USA",11-50,"The Climate Leadership Initiative (CLI) connects philanthropists to the resources they need to advance a healthy and more equitable world. When working with CLI, philanthropists will get started quickly, receive tailored guidance on high-impact solutions, and engage with our network of peers and climate experts. Founded by leading climate philanthropists and funders, CLI advises on giving opportunities without charging for its services."
Genecis Bioindustries,Materials & Manufacturing,Remote,11-50,"Genecis Bioindustries is a biotechnology company solving the related climate crises of organic waste and plastic pollution with one circular economy solution: PHA (polyhydroxyalkanoate) made from organic waste. PHA offers the same functionality as plastic, without the pollution. PHA is a biodegradable, compostable, and non-toxic alternative to traditional plastics.

How does it work?
PHA is a naturally occurring polymer, found in the cells of bacteria, that can be used as a non-toxic and biodegradable replacement to oil-based polymers. Other PHA producers use food-source/food-competing feedstocks like soy or canola, which have a land, water, and carbon footprint. Genecis uses existing food and agricultural wastes, lowering our environmental impact, valorizing waste streams, and dropping the cost of PHA production.
Our PHA is also customizable. PHA tends to be hard and brittle, making it challenging to produce PHA-based products that have flexible or amorphous characteristics. Genecis, however, can finetune the PHA comonomer ratio; PHA is a blend of butyrate and valerate, and by adjusting the percentage of each, the rigidity and flexibility of the PHA can be tuned. This allows Genecis to design PHA-based products with a wider range of applications, including: replacing single-use plastics, including packaging; clothing and textiles (with zero micro-plastic shedding); automotive interiors; medical tools and products, including sutures, grafts, and other equipment; and food contact applications.
PHA breaks down naturally in the environment without leaving behind harmful microplastics or toxic residue. Ideally, PHA products will be composted, but if they end up in a landfill or a waterway (as most products do, unfortunately), they will break down safely with no impact on the natural environment.
Our goal is to build a robust circular economy by turning organic waste into PHA, then composting PHA-based products at end-of-life so they can be upcycled into new products. The circular economy for PHA aims to create a closed-loop system where waste is minimized and resources are conserved, leading to a more sustainable and resilient economy."
VEIR,Energy,"Woburn, MA, USA",11-50,"VEIR, Inc. is changing the game of power transmission. Our High-Temperature Superconductor (HTS)-based transmission lines enable reliable, low-loss, cost-effective power transfer over much smaller right-of-ways, making it possible to expand global electricity transmission networks and bring clean, affordable energy to everyone. Our innovations overcome the main barriers to transmission expansion, enabling the world to access renewable power at the lowest cost. With funding from Breakthrough Energy Ventures, Congruent Ventures, and The Engine, we're proud to collaborate with National Grid to develop and demonstrate our technology. Join us in shaping a greener future."
Ecolectro,Carbon Removal Tech,"Ithaca, NY, USA",11-50,-
